id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4016283191,401628319,Western Kentucky,Conference USA,Alabama,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,69,69,"{'minutes': 12, 'seconds': 50}","{'minutes': 2, 'seconds': 10}",5,6,PUNT,False,0,0,0,0
4016283192,401628319,Alabama,SEC,Western Kentucky,Conference USA,2,False,1,31,69,"{'minutes': 12, 'seconds': 50}",1,28,72,"{'minutes': 11, 'seconds': 20}","{'minutes': 1, 'seconds': 30}",3,-3,PUNT,True,0,0,0,0
4016283193,401628319,Western Kentucky,Conference USA,Alabama,SEC,3,False,1,80,80,"{'minutes': 11, 'seconds': 20}",1,78,78,"{'minutes': 10, 'seconds': 48}","{'minutes': 0, 'seconds': 32}",2,2,INT,False,0,0,0,0
4016283194,401628319,Alabama,SEC,Western Kentucky,Conference USA,4,True,1,84,16,"{'minutes': 10, 'seconds': 48}",1,100,0,"{'minutes': 10, 'seconds': 7}","{'minutes': 0, 'seconds': 41}",2,16,TD,True,0,0,7,0
4016283195,401628319,Western Kentucky,Conference USA,Alabama,SEC,5,False,1,75,75,"{'minutes': 10, 'seconds': 7}",1,22,22,"{'minutes': 6, 'seconds': 32}","{'minutes': 3, 'seconds': 35}",8,53,INT,False,0,7,0,7
4016283196,401628319,Alabama,SEC,Western Kentucky,Conference USA,6,True,1,74,26,"{'minutes': 6, 'seconds': 32}",1,100,0,"{'minutes': 5, 'seconds': 1}","{'minutes': 1, 'seconds': 31}",3,26,TD,True,7,0,14,0
4016283197,401628319,Western Kentucky,Conference USA,Alabama,SEC,7,False,1,75,75,"{'minutes': 5, 'seconds': 1}",1,70,70,"{'minutes': 3, 'seconds': 46}","{'minutes': 1, 'seconds': 15}",3,5,PUNT,False,0,14,0,14
4016283198,401628319,Alabama,SEC,Western Kentucky,Conference USA,8,True,1,19,81,"{'minutes': 3, 'seconds': 46}",1,100,0,"{'minutes': 2, 'seconds': 27}","{'minutes': 1, 'seconds': 19}",4,81,TD,True,14,0,21,0
4016283199,401628319,Western Kentucky,Conference USA,Alabama,SEC,9,False,1,75,75,"{'minutes': 2, 'seconds': 27}",1,70,70,"{'minutes': 1, 'seconds': 39}","{'minutes': 0, 'seconds': 48}",3,5,PUNT,False,0,21,0,21
40162831910,401628319,Alabama,SEC,Western Kentucky,Conference USA,10,False,1,28,72,"{'minutes': 1, 'seconds': 39}",1,36,64,"{'minutes': 0, 'seconds': 12}","{'minutes': 1, 'seconds': 27}",3,-8,FUMBLE,True,21,0,21,0
