season,playerId,player,position,team,conference,category,statType,stat
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,PD,0
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,QB HUR,0
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,SACKS,0
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,SOLO,1
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,TD,0
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,TFL,0
2024,102597,Will Rogers,QB,Washington,Big Ten,defensive,TOT,1
2024,102597,Will Rogers,QB,Washington,Big Ten,fumbles,FUM,5
2024,102597,Will Rogers,QB,Washington,Big Ten,fumbles,LOST,2
2024,102597,Will Rogers,QB,Washington,Big Ten,fumbles,REC,1
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,ATT,311
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,COMPLETIONS,220
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,INT,7
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,PCT,0.707
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,TD,14
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,YDS,2458
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,YPA,7.9
2024,102597,Will Rogers,QB,Washington,Big Ten,rushing,CAR,34
2024,102597,Will Rogers,QB,Washington,Big Ten,rushing,LONG,20
2024,102597,Will Rogers,QB,Washington,Big Ten,rushing,TD,0
2024,102597,Will Rogers,QB,Washington,Big Ten,rushing,YDS,-79
2024,102597,Will Rogers,QB,Washington,Big Ten,rushing,YPC,-2.3
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,PD,0
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,QB HUR,0
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,SACKS,0
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,SOLO,1
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,TD,0
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,TFL,0
2024,107494,Trey Sanders,RB,TCU,Big 12,defensive,TOT,1
2024,107494,Trey Sanders,RB,TCU,Big 12,fumbles,FUM,1
2024,107494,Trey Sanders,RB,TCU,Big 12,fumbles,LOST,0
2024,107494,Trey Sanders,RB,TCU,Big 12,fumbles,REC,0
2024,107494,Trey Sanders,RB,TCU,Big 12,rushing,CAR,13
2024,107494,Trey Sanders,RB,TCU,Big 12,rushing,LONG,12
2024,107494,Trey Sanders,RB,TCU,Big 12,rushing,TD,0
2024,107494,Trey Sanders,RB,TCU,Big 12,rushing,YDS,46
2024,107494,Trey Sanders,RB,TCU,Big 12,rushing,YPC,3.5
2024,146583,John Adams,WR,Temple,American Athletic,defensive,PD,0
2024,146583,John Adams,WR,Temple,American Athletic,defensive,QB HUR,0
2024,146583,John Adams,WR,Temple,American Athletic,defensive,SACKS,0
2024,146583,John Adams,WR,Temple,American Athletic,defensive,SOLO,3
2024,146583,John Adams,WR,Temple,American Athletic,defensive,TD,1
2024,146583,John Adams,WR,Temple,American Athletic,defensive,TFL,0
2024,146583,John Adams,WR,Temple,American Athletic,defensive,TOT,4
2024,146583,John Adams,WR,Temple,American Athletic,puntReturns,AVG,0.0
2024,146583,John Adams,WR,Temple,American Athletic,puntReturns,LONG,0
2024,146583,John Adams,WR,Temple,American Athletic,puntReturns,NO,1
2024,146583,John Adams,WR,Temple,American Athletic,puntReturns,TD,1
2024,146583,John Adams,WR,Temple,American Athletic,puntReturns,YDS,0
2024,146583,John Adams,WR,Temple,American Athletic,receiving,LONG,35
2024,146583,John Adams,WR,Temple,American Athletic,receiving,REC,16
2024,146583,John Adams,WR,Temple,American Athletic,receiving,TD,1
2024,146583,John Adams,WR,Temple,American Athletic,receiving,YDS,194
2024,146583,John Adams,WR,Temple,American Athletic,receiving,YPR,12.1
2024,146583,John Adams,WR,Temple,American Athletic,rushing,CAR,3
2024,146583,John Adams,WR,Temple,American Athletic,rushing,LONG,4
2024,146583,John Adams,WR,Temple,American Athletic,rushing,TD,0
2024,146583,John Adams,WR,Temple,American Athletic,rushing,YDS,9
2024,146583,John Adams,WR,Temple,American Athletic,rushing,YPC,3.0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,PD,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,QB HUR,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,SACKS,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,SOLO,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,TD,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,TFL,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,TOT,1
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,receiving,LONG,8
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,receiving,REC,1
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,receiving,TD,0
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,receiving,YDS,8
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,receiving,YPR,8.0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,ATT,1
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,COMPLETIONS,0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,INT,1
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,PCT,0.000
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,TD,0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,YDS,0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,YPA,0.0
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,PD,0
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,QB HUR,0
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,SACKS,0.5
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,SOLO,15
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,TD,0
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,TFL,5
2024,245322,Marcus Patterson,DL,Western Kentucky,Conference USA,defensive,TOT,22
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,PD,0
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,QB HUR,0
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,SACKS,0
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,SOLO,0
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,TD,0
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,TFL,0
2024,385738,Jacob Johnson,LB,Southern Miss,Sun Belt,defensive,TOT,2
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,FGA,9
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,FGM,6
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,LONG,38
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,PCT,0.667
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,PTS,42
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,XPA,25
2024,484303,Patrick Ryan,P,Georgetown,Patriot,kicking,XPM,24
2024,484303,Patrick Ryan,P,Georgetown,Patriot,punting,In 20,15
2024,484303,Patrick Ryan,P,Georgetown,Patriot,punting,LONG,57
2024,484303,Patrick Ryan,P,Georgetown,Patriot,punting,NO,55
2024,484303,Patrick Ryan,P,Georgetown,Patriot,punting,TB,4
2024,484303,Patrick Ryan,P,Georgetown,Patriot,punting,YDS,2157
2024,484303,Patrick Ryan,P,Georgetown,Patriot,punting,YPP,39.2
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,PD,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,QB HUR,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,SACKS,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,SOLO,1
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,TD,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,TFL,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,defensive,TOT,1
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,FGA,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,FGM,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,LONG,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,PCT,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,PTS,0
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,XPA,1
2024,532607,Eric Goins,PK,Notre Dame,FBS Independents,kicking,XPM,0
2024,548696,Malik Jackson,TE,Towson,CAA,receiving,LONG,20
2024,548696,Malik Jackson,TE,Towson,CAA,receiving,REC,2
2024,548696,Malik Jackson,TE,Towson,CAA,receiving,TD,0
2024,548696,Malik Jackson,TE,Towson,CAA,receiving,YDS,24
2024,548696,Malik Jackson,TE,Towson,CAA,receiving,YPR,12.0
2024,550577,Jordan Brown,WR,Fresno State,Mountain West,defensive,PD,0
2024,550577,Jordan Brown,WR,Fresno State,Mountain West,defensive,QB HUR,0
